description,money
"The dress is fine, but I expected more for the price.",neutral
The shoes broke within a few days of use. Very disappointed.,negative
Love the material of this hat. Feels so luxurious!,positive
The hat was too small and the color didn’t match the picture.,negative
"It’s a shoes. Nothing more, nothing less.",neutral
Great experience! The coat was perfect and delivery was quick.,positive
The shoes was too small and the color didn’t match the picture.,negative
Terrible experience! The jeans was nothing like the description.,negative
The shoes didn’t fit well and feels poorly made.,negative
The jacket was okay. Nothing exceptional but not bad either.,neutral
Great experience! The watch was perfect and delivery was quick.,positive
An average coat. Does the job but not impressive.,neutral
I'm obsessed with this scarf! It’s exactly what I was looking for.,positive
The watch broke within a few days of use. Very disappointed.,negative
Perfect dress for the price. Will definitely buy again!,positive
Perfect watch for the price. Will definitely buy again!,positive
The jacket exceeded my expectations. Highly recommended!,positive
This jacket is the best purchase I've made in months.,positive
A standard jacket. It's neither great nor terrible.,neutral
Terrible experience! The scarf was nothing like the description.,negative
"The jacket looks exactly like the picture, but the material feels basic.",neutral
The hat was acceptable but nothing memorable.,neutral
Average coat. You get what you pay for.,neutral
This jeans is so soft and stylish! I get compliments everywhere I go.,positive
Extremely dissatisfied with the handbag. Would not recommend.,negative
The jeans was okay. Nothing exceptional but not bad either.,neutral
The shoes felt uncomfortable after just one wear.,negative
Perfect hat for the price. Will definitely buy again!,positive
"It’s a jacket. Nothing more, nothing less.",neutral
Awful watch. A complete waste of money.,negative
"The coat looks exactly like the picture, but the material feels basic.",neutral
The coat felt uncomfortable after just one wear.,negative
"The shoes looks exactly like the picture, but the material feels basic.",neutral
Fantastic handbag. High quality and worth every penny.,positive
Awful hat. A complete waste of money.,negative
Absolutely love the scarf! Fits perfectly and looks amazing.,positive
This coat is so soft and stylish! I get compliments everywhere I go.,positive
A standard t-shirt. It's neither great nor terrible.,neutral
Super comfy and stylish coat. Everyone loves it!,positive
This scarf is so soft and stylish! I get compliments everywhere I go.,positive
"Decent experience overall, though the watch could be better.",neutral
"The shoes is fine, but I expected more for the price.",neutral
Great experience! The shoes was perfect and delivery was quick.,positive
The jacket broke within a few days of use. Very disappointed.,negative
Super comfy and stylish shoes. Everyone loves it!,positive
An average watch. Does the job but not impressive.,neutral
Great experience! The coat was perfect and delivery was quick.,positive
Average t-shirt. You get what you pay for.,neutral
Absolutely love the coat! Fits perfectly and looks amazing.,positive
"The watch looks exactly like the picture, but the material feels basic.",neutral
An average scarf. Does the job but not impressive.,neutral
I'm obsessed with this jeans! It’s exactly what I was looking for.,positive
This shoes is so soft and stylish! I get compliments everywhere I go.,positive
"The handbag looks exactly like the picture, but the material feels basic.",neutral
Perfect hat for the price. Will definitely buy again!,positive
"The scarf is fine, but I expected more for the price.",neutral
The scarf broke within a few days of use. Very disappointed.,negative
An average jeans. Does the job but not impressive.,neutral
Terrible experience! The jeans was nothing like the description.,negative
Poor quality hat. It looks cheap and feels even worse.,negative
The scarf was acceptable but nothing memorable.,neutral
Absolutely love the scarf! Fits perfectly and looks amazing.,positive
"Okay watch. Works for now, but I might not repurchase.",neutral
Love the material of this coat. Feels so luxurious!,positive
Perfect coat for the price. Will definitely buy again!,positive
The dress broke within a few days of use. Very disappointed.,negative
Poor quality shoes. It looks cheap and feels even worse.,negative
Love the material of this dress. Feels so luxurious!,positive
Not happy with the scarf. Definitely returning it.,negative
Fantastic jeans. High quality and worth every penny.,positive
A standard shoes. It's neither great nor terrible.,neutral
A standard shoes. It's neither great nor terrible.,neutral
The dress was too small and the color didn’t match the picture.,negative
"Decent experience overall, though the dress could be better.",neutral
"The shoes looks exactly like the picture, but the material feels basic.",neutral
The t-shirt didn’t fit well and feels poorly made.,negative
Fantastic jacket. High quality and worth every penny.,positive
The jeans exceeded my expectations. Highly recommended!,positive
I'm obsessed with this shoes! It’s exactly what I was looking for.,positive
Great experience! The coat was perfect and delivery was quick.,positive
The handbag was acceptable but nothing memorable.,neutral
Love the material of this coat. Feels so luxurious!,positive
"The watch is fine, but I expected more for the price.",neutral
Fantastic watch. High quality and worth every penny.,positive
"It’s a dress. Nothing more, nothing less.",neutral
Fantastic scarf. High quality and worth every penny.,positive
Perfect t-shirt for the price. Will definitely buy again!,positive
A standard scarf. It's neither great nor terrible.,neutral
Great experience! The scarf was perfect and delivery was quick.,positive
Awful shoes. A complete waste of money.,negative
This jeans is so soft and stylish! I get compliments everywhere I go.,positive
Absolutely love the jeans! Fits perfectly and looks amazing.,positive
An average scarf. Does the job but not impressive.,neutral
Poor quality hat. It looks cheap and feels even worse.,negative
The hat exceeded my expectations. Highly recommended!,positive
This scarf is so soft and stylish! I get compliments everywhere I go.,positive
Perfect watch for the price. Will definitely buy again!,positive
"The shoes looks exactly like the picture, but the material feels basic.",neutral
Terrible experience! The t-shirt was nothing like the description.,negative
"It’s a handbag. Nothing more, nothing less.",neutral
"It’s a hat. Nothing more, nothing less.",neutral
The watch exceeded my expectations. Highly recommended!,positive
Awful scarf. A complete waste of money.,negative
Awful scarf. A complete waste of money.,negative
The dress exceeded my expectations. Highly recommended!,positive
The hat didn’t fit well and feels poorly made.,negative
